region,per capita,formal wage,child mortality,disabled 18_60,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,the poor: retired,the poor: employable,regional production,retail,income,subsidies,welfare,registered crimes,felonies,misdemeanors,killed,grievous harm,children %,orphanage,adopted %,pension,retired %,living wage
 Липецкая область,32226.0,36790.0,0.3727766535307275,6.661984832184458,68.6,5.7,546151.3,16.5,0.2,0.6077,66621.8,60.0,468.1,3.8,824.0511650726585,1139371.0,8.4,40.0,0.8,59.3,1367916.2060470206,236552,33883.7418431661,20901.26634731795,18041.70897802384,13228,823,2718,155,171,19.06446627130233,228,82.0,16966.73,28.1,10627.0
 Приморский край,37304.0,50105.0,0.5260243632336655,4.139673502738382,64.1,35.5,582950.7,15.7,2.4,1.8796000000000004,72917.4,170.9,661.8,30.6,952.597965681155,1895868.0,13.0,49.6,4.2,46.2,362188.5623788154,230378,46710.44976030503,28295.483612155487,26058.40701989801,32319,1539,7396,380,473,19.863671943405343,1458,66.0,17862.149999999998,24.1,14872.0
 Республика Тыва,18972.0,44104.0,0.5469462169553327,8.35254750334031,88.9,12.7,251799.9,13.6,8.5,6.3744000000000005,60756.5,340.9,389.7,0.0,2010.489243485459,327383.0,31.7,45.0,2.6,52.4,142291.0411963969,76921,20403.745538345,123345.46334592816,40522.87382057102,8546,294,1640,195,379,37.31103936368107,215,74.0,18251.62,11.0,11594.0
 Ленинградская область,33149.0,48286.0,0.3919499510062562,3.8766603868075262,35.3,8.6,661328.6,17.0,3.0,3.8308,66653.9,123.9,457.1,5.2,707.2444175295543,1875872.0,8.7,19.0,17.0,64.1,1383181.256290408,255646,48817.71913583657,11951.739760825898,20279.36874157725,27427,1157,8974,357,355,17.339402688456353,562,66.0,18134.51,26.8,12231.0
 Республика Ингушетия,16877.0,29648.0,0.5553586198747489,15.306659321956095,0.2,2.7,142199.7,27.8,0.0,0.0,60547.7,55.2,106.0,0.0,1669.0299589201295,507061.0,30.0,38.1,10.6,51.3,16871.75862470196,50713,8737.699441862023,60147.182995872296,25981.292191669247,1850,134,397,37,22,31.189541297792573,0,100.0,17076.7,13.0,10580.0
 Курганская область,21860.0,33182.0,0.6191950464396285,6.297484218569767,77.8,22.5,294464.0,16.7,3.2,0.1305,96602.5,288.1,835.3,4.6,898.1268572450995,827166.0,19.3,39.4,2.4,58.2,361819.7023572053,147332,24638.230235490817,39359.60669876422,20027.418921957626,15653,1422,2734,154,183,21.510918001948824,382,67.0,16366.08,28.8,11204.0
 Республика Адыгея,30293.0,32161.0,0.3168854685377999,5.745153473344104,52.5,5.1,309184.1,19.6,3.5,0.0,66252.3,105.9,267.3,0.0,954.0303354869916,463088.0,12.5,44.6,5.4,50.1,263505.6166430571,231447,25278.67316227153,43824.500436893206,16009.268216839992,4111,164,827,41,92,21.89324707183084,42,68.0,15633.62,24.6,10520.0
 Чувашская Республика,21155.0,31844.0,0.2122578933404085,4.385201488203654,79.0,1.2,287210.3,14.2,1.2,1.8768,93394.5,487.8,515.7,3.3,928.46385913166,1217818.0,16.8,22.2,4.2,73.6,415546.2305533339,141564,22015.06173213074,30559.102833181965,16136.729790494144,13047,1097,3418,141,188,21.25966277391203,161,77.0,16111.97,24.9,10414.0
 Удмуртская Республика,25449.0,36380.0,0.4331385355792368,4.945880519769609,56.4,7.7,451490.9,14.8,1.9,1.3152,99088.4,191.0,428.4,7.5,969.0497050211366,1500955.0,11.9,49.9,2.7,47.5,774938.0300675237,160085,28106.911450962885,23786.1059103171,18111.80215262949,28075,1373,6632,254,449,22.681492782928203,609,71.0,17178.510000000002,24.6,10930.0
 Республика Татарстан,35635.0,39761.0,0.4086734939179768,5.110015419439128,48.9,9.3,675621.4,16.2,0.7,2.175,79394.9,155.2,346.1,114.0,1065.8261267041223,3902888.0,6.6,42.0,7.3,50.7,1388744.7766935665,238322,42549.52196367664,21892.958411968262,13074.548898149267,53817,3390,12322,455,613,21.6175560251793,638,79.0,16916.73,24.4,10231.0
 Ненецкий автономный округ,84147.0,92237.0,0.6734006734006733,4.878964941569283,181.8,2.3,5206287.1,20.9,5.9,0.0,138231.7,853.1,903.3,0.0,1346.602888168484,44111.0,9.4,45.6,2.0,52.4,11922452.714742357,226206,230242.7827732312,184944.1688458661,87472.51252522046,732,39,162,14,14,27.165559610981383,20,,27264.59,18.5,22971.0
